"SECCIO_CENSAL","HOMES","DONES","EDAT_0_A_14","EDAT_15_A_24","EDAT_25_A_64","EDAT_65_A_MES","NACIONALS","COMUNITARIS","ESTRANGERS","DATA_DADES"
"09015","927","966","250","222","1105","316","1435","45","413","04-09-2022 10:00:05"
"09016","604","671","112","110","703","350","1213","10","52","04-09-2022 10:00:05"
"09017","715","786","192","167","862","280","1349","30","122","04-09-2022 10:00:05"
"09018","694","761","195","131","770","359","1374","20","61","04-09-2022 10:00:05"
"09019","1279","1380","406","229","1459","565","2474","40","145","04-09-2022 10:00:05"
"09020","510","611","112","90","571","348","1045","11","65","04-09-2022 10:00:05"
"09021","642","752","166","135","745","348","1233","41","120","04-09-2022 10:00:05"
"09022","607","655","171","115","668","308","1145","27","90","04-09-2022 10:00:05"
"09023","592","594","161","101","669","255","1080","44","62","04-09-2022 10:00:05"
"09024","525","674","150","95","649","305","1097","18","84","04-09-2022 10:00:05"
"09025","591","672","159","117","726","261","1104","33","126","04-09-2022 10:00:05"
"09026","704","783","170","117","791","409","1357","43","87","04-09-2022 10:00:05"
"09027","623","670","130","85","679","399","1206","16","71","04-09-2022 10:00:05"
"09028","753","790","259","224","848","212","1510","16","17","04-09-2022 10:00:05"
"09029","515","576","109","87","571","324","995","11","85","04-09-2022 10:00:05"
"09030","676","774","218","147","805","280","1349","24","77","04-09-2022 10:00:05"
"09031","580","605","186","178","604","217","1128","13","44","04-09-2022 10:00:05"
"09032","1042","1154","419","246","1252","279","1911","35","250","04-09-2022 10:00:05"
"09033","1572","1670","413","265","1867","697","2792","90","360","04-09-2022 10:00:05"
"09034","671","762","141","145","719","428","1229","28","176","04-09-2022 10:00:05"
"09035","726","818","165","129","851","399","1340","41","163","04-09-2022 10:00:05"
"09036","640","730","127","122","702","419","1284","21","65","04-09-2022 10:00:05"
"09037","895","836","194","247","912","378","1352","17","362","04-09-2022 10:00:05"
"09038","802","942","261","159","945","379","1593","21","130","04-09-2022 10:00:05"
"09039","720","803","159","130","864","370","1372","32","119","04-09-2022 10:00:05"
"09040","761","879","240","144","936","320","1460","32","148","04-09-2022 10:00:05"
"09041","646","762","177","132","767","332","1275","33","100","04-09-2022 10:00:05"
"09042","559","695","139","101","717","297","1105","37","112","04-09-2022 10:00:05"
"09043","644","723","156","115","768","328","1153","55","159","04-09-2022 10:00:05"
"09044","746","773","205","129","863","322","1334","41","144","04-09-2022 10:00:05"
"09045","649","777","201","117","769","339","1284","26","116","04-09-2022 10:00:05"
"09046","616","704","170","111","705","334","1199","35","86","04-09-2022 10:00:05"
"09047","767","842","196","143","953","317","1418","47","144","04-09-2022 10:00:05"
"09048","621","719","149","117","702","372","1215","23","102","04-09-2022 10:00:05"
"09049","595","700","153","121","698","323","1080","20","195","04-09-2022 10:00:05"
"09050","719","807","179","132","858","357","1329","56","141","04-09-2022 10:00:05"
"09051","613","653","143","113","713","297","1101","43","122","04-09-2022 10:00:05"
"09052","567","649","148","107","661","300","1083","32","101","04-09-2022 10:00:05"
"09053","755","875","206","152","847","425","1450","31","149","04-09-2022 10:00:05"
"09054","512","575","106","93","579","309","955","21","111","04-09-2022 10:00:05"
"09055","824","959","229","132","884","538","1423","34","326","04-09-2022 10:00:05"
"09056","532","609","89","75","542","435","1009","15","117","04-09-2022 10:00:05"
"09057","812","895","191","166","968","382","1296","54","357","04-09-2022 10:00:05"
"09058","732","792","230","165","882","247","1251","40","233","04-09-2022 10:00:05"
"09059","705","754","196","111","807","345","1245","49","165","04-09-2022 10:00:05"
"09060","618","734","162","108","761","321","1155","45","152","04-09-2022 10:00:05"
"09061","764","832","214","158","876","348","1472","40","84","04-09-2022 10:00:05"
"09062","736","802","237","129","928","244","1275","75","188","04-09-2022 10:00:05"
"09063","538","594","116","80","697","239","990","56","86","04-09-2022 10:00:05"
"09064","544","609","126","79","623","325","1011","29","113","04-09-2022 10:00:05"
"09065","966","1143","235","181","1139","554","1691","64","354","04-09-2022 10:00:05"
"09066","685","747","169","111","806","346","1244","62","126","04-09-2022 10:00:05"
"09067","709","826","181","116","881","357","1226","57","252","04-09-2022 10:00:05"
"09068","739","800","177","137","855","370","1348","47","144","04-09-2022 10:00:05"
"09069","414","519","103","82","505","243","788","15","130","04-09-2022 10:00:05"
"09070","843","962","219","159","1022","405","1318","63","424","04-09-2022 10:00:05"
"09071","869","1020","202","164","1031","492","1490","47","352","04-09-2022 10:00:05"
"09072","675","818","172","133","850","338","1138","71","284","04-09-2022 10:00:05"
"09073","699","782","117","111","801","452","1295","36","150","04-09-2022 10:00:05"
"09074","805","897","211","167","965","359","1424","62","216","04-09-2022 10:00:05"
"09075","769","815","208","148","906","322","1266","41","277","04-09-2022 10:00:05"
"09076","663","779","180","111","860","291","1225","43","174","04-09-2022 10:00:05"
"09077","744","876","208","148","911","353","1397","53","170","04-09-2022 10:00:05"
"09078","679","783","157","134","864","307","1210","46","206","04-09-2022 10:00:05"
"09079","766","869","172","144","922","397","1379","53","203","04-09-2022 10:00:05"
"09080","646","690","137","117","746","336","1139","54","143","04-09-2022 10:00:05"
"09081","800","925","184","172","971","398","1469","60","196","04-09-2022 10:00:05"
"09082","965","1088","277","187","1247","342","1649","100","304","04-09-2022 10:00:05"
"09083","752","881","208","157","862","406","1378","51","204","04-09-2022 10:00:05"
"09084","807","909","202","122","994","398","1416","83","217","04-09-2022 10:00:05"
"09085","860","966","213","161","1070","382","1498","94","234","04-09-2022 10:00:05"
"09086","703","795","173","155","825","345","1162","68","268","04-09-2022 10:00:05"
"09087","619","673","134","113","686","359","1099","62","131","04-09-2022 10:00:05"
"09088","860","1065","212","156","1045","512","1592","66","267","04-09-2022 10:00:05"
"09089","660","820","170","117","801","392","1225","56","199","04-09-2022 10:00:05"
"09090","706","817","148","116","834","425","1223","66","234","04-09-2022 10:00:05"
"09091","857","998","196","168","1025","466","1531","56","268","04-09-2022 10:00:05"
"09092","905","987","183","183","1036","490","1604","59","229","04-09-2022 10:00:05"
"09093","615","681","129","129","704","334","1102","34","160","04-09-2022 10:00:05"
"09094","946","1040","187","226","1120","453","1636","102","248","04-09-2022 10:00:05"
"09095","1022","1137","299","190","1247","423","1800","88","271","04-09-2022 10:00:05"
"09156","594","663","137","71","573","476","1094","44","119","04-09-2022 10:00:05"
"10001","793","843","178","141","973","344","1196","117","323","04-09-2022 10:00:05"
"10002","883","919","207","137","1154","304","1431","122","249","04-09-2022 10:00:05"
"10003","740","845","169","161","916","339","1261","92","232","04-09-2022 10:00:05"
"10004","708","858","207","118","836","405","1272","89","205","04-09-2022 10:00:05"
"10005","736","897","150","116","894","473","1356","65","212","04-09-2022 10:00:05"
"10006","846","1007","209","156","1089","399","1466","113","274","04-09-2022 10:00:05"
"10007","645","676","130","90","688","413","1153","69","99","04-09-2022 10:00:05"
"10008","804","925","179","135","973","442","1321","127","281","04-09-2022 10:00:05"
"10009","776","858","133","141","980","380","1237","135","262","04-09-2022 10:00:05"
"10010","794","954","186","147","1067","348","1302","118","328","04-09-2022 10:00:05"
"10011","535","641","108","93","700","275","962","80","134","04-09-2022 10:00:05"
"10012","836","933","176","160","996","437","1402","98","269","04-09-2022 10:00:05"
"10013","616","719","160","97","788","290","1072","84","179","04-09-2022 10:00:05"
"10014","676","779","147","98","874","336","1053","140","262","04-09-2022 10:00:05"
"10015","910","987","182","150","1130","435","1394","146","357","04-09-2022 10:00:05"
"10016","576","597","101","80","660","332","922","71","180","04-09-2022 10:00:05"
"10017","768","919","160","146","915","466","1292","112","283","04-09-2022 10:00:05"
"10018","685","772","150","123","917","267","1044","144","269","04-09-2022 10:00:05"
"10019","719","815","125","108","891","410","1257","75","202","04-09-2022 10:00:05"
"10020","701","766","137","108","822","400","1140","84","243","04-09-2022 10:00:05"
"10021","610","669","127","126","735","291","1005","74","200","04-09-2022 10:00:05"
"10022","633","726","137","126","839","257","1057","105","197","04-09-2022 10:00:05"
"10023","654","786","146","126","826","342","1137","108","195","04-09-2022 10:00:05"
"10024","719","789","195","144","904","265","1179","92","237","04-09-2022 10:00:05"
